Sito,Long,Lat,EPTSER,HYPSAV,MINSCH,MYOCAP,MYOCRY,MYODAU,MYOEMA,MYOMYO,NYCLEI,NYCNOC,PIPKUH,PIPPIP,PIPPYG,PLE_sp,RHIFER,TADTEN,Days,Class_n,class_name,N_call,N_callperday,N_specie,simpson_index,tree_density,mean_t_height,lc_diversity_SI,conif_perc
1,12408844,41773312,5,105,0,1,14,35,6,0,14,13,349,64,19,0,0,238,4,10,T195 - Southeastern sub-thermophilous Quercus spp. forest,863,215.75,13,0.77717789,79.5308641975309,4.83606557377049,0.488690541032,0
2,12395222,41769155,0,62,0,0,0,0,0,0,0,1,211,10,2,0,0,34,4,13,T211 - Quercus suber forest,320,80,7,0.630097656,124.319672131148,10.4508196721311,0.327485991292225,3.62844702467344
3,12422538,41769667,20,23,0,0,0,2,0,0,3,5,441,143,294,0,1,12,4,6,C7 - Pastures with trees,944,236,11,0.744200661,45.0789473684211,2.20491803278689,0.281098767267054,0
4,12390481,41762195,2,64,3,0,0,0,0,0,1,1,281,26,8,0,0,58,4,13,T211 - Quercus suber forest,444,111,10,0.676781511,127.781512605042,8.23529411764706,0.358843587033348,3.49854227405248
5,12396328,41757261,2,721,9,0,0,0,0,0,3,1,572,2,6,0,0,29,3,13,T211 - Quercus suber forest,1345,448.333333333333,10,0.58780835,114.8,11.5,0.668537610046833,32.1637426900585
6,12412750,41755648,21,857,0,0,0,1,0,0,1,1,183,14,12,0,4,4,3,8,N1G - Mediterranean coniferous coastal dune forest,1098,366,11,0.372649726,122.08064516129,12.5241935483871,0.197112893219357,65.7971014492754
7,12429803,41760501,1,0,5,2,0,1,0,0,1,0,171,38,69,0,16,5,4,6,C7 - Pastures with trees,309,77.25,11,0.76892785,72.021052631579,5.50833333333333,0.668941093643107,2.39852398523985
8,12411258,41753518,155,149,22,6,11,42,3,25,0,1,408,37,647,0,21,3,3,8,N1G - Mediterranean coniferous coastal dune forest,1530,510,15,0.744829766,114.316239316239,7.64957264957265,0.726165929740345,13.3136094674556
9,12398614,41747579,6,239,68,0,0,2,0,0,2,0,3324,573,57,16,5,44,3,8,N1G - Mediterranean coniferous coastal dune forest,4336,1445.33333333333,12,0.529112123,55.9385964912281,6.18032786885246,0.477925947170696,28.2945736434109
10,12426636,41751964,5,17,1,0,0,1,0,0,3,1,206,0,149,0,7,6,3,4,C5 - Special plantations,396,132,11,0.692289052,120.454545454545,10.297520661157,0.695961838091733,6.42335766423358
11,12422916,41743330,163,32,0,0,0,0,0,0,3,0,59,0,0,0,0,0,3,10,T195 - Southeastern sub-thermophilous Quercus spp. forest,257,85.6666666666667,5,0.559947917,127.9,9.24166666666667,0.509015830486589,0
12,12391046,41738413,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,11,T19B6 - Thermophilous Fraxinus spp. forest,4,1.33333333333333,2,0.375,105.491803278689,8.59016393442623,0.734510154781365,1.31771595900439
13,12403980,41738116,32,45,39,0,0,0,0,0,4,2,4224,25,31,4,0,5,3,6,C7 - Pastures with trees,4411,1470.33333333333,11,0.251404012,81.4587155963303,8.136,0.81313868738313,25.1923076923077
14,12398716,41730468,4,4,0,0,0,0,0,0,0,1,20,2,261,0,4,1,3,6,C7 - Pastures with trees,297,99,9,0.224036096,131.726495726496,9.91452991452991,0.758692169993888,13.0813953488372
15,12418545,41731396,0,96,0,0,1,0,0,0,1,3,170,0,10,0,0,20,4,2,C3 - Shrubland,301,75.25,8,0.719616781,114.103896103896,4.18032786885246,0.523678514634598,1.20772946859903
16,12392382,41725378,37,22,0,0,0,0,0,0,3,1,155,0,47,0,0,8,3,12,T1E1 - Quercus - Fraxinus - Carpinus betulus forest on eutrophic and mesotrophic soils,273,91,8,0.749426398,130.566666666667,5.85833333333333,0.651486916439344,2.19619326500732
17,12422881,41727904,5,152,6,0,0,8,0,0,7,40,955,0,1,0,1,228,4,1,C2 - Agricultural land,1403,350.75,11,0.636129991,0,0,0,0
18,12411185,41720679,0,21,0,8,0,4,0,0,0,0,326,6,30,0,1,10,3,4,C5 - Special plantations,406,135.333333333333,9,0.534409959,107.258333333333,9.41666666666667,0.0829537310387931,5.12820512820513
19,12382845,41713145,2,2,0,3,0,3,0,0,1,0,144,15,113,0,0,2,4,8,N1G - Mediterranean coniferous coastal dune forest,285,71.25,10,0.629165897,132.541666666667,8.94166666666667,0.682694337415215,45.7602339181287
20,12403316,41715981,11,102,0,1,0,0,0,0,2,2,3983,33,19,45,262,252,3,8,N1G - Mediterranean coniferous coastal dune forest,4712,1570.66666666667,12,0.45279689,110.78813559322,7.08474576271186,0.417570972583722,93.058568329718
21,12369723,41709392,1,1,0,0,0,0,0,0,0,1,1,3,22,1,1,2,4,14,T212 - Quercus ilex and Q. rotundifolia forest,33,8.25,9,0.538108356,131.739837398374,12.9105691056911,0.414226442186946,0.436681222707424
22,12381048,41704579,0,1,0,0,0,0,1,0,0,1,51,0,35,0,0,1,4,14,T212 - Quercus ilex and Q. rotundifolia forest,90,22.5,7,0.562716049,122.713114754098,13.7295081967213,0.379478096512993,1.15774240231548
23,12392735,41704814,9,28,0,2,0,7,0,0,3,0,984,490,360,4,2,5,4,12,T1E1 - Quercus - Fraxinus - Carpinus betulus forest on eutrophic and mesotrophic soils,1894,473.5,12,0.73569846,115.108333333333,6.56666666666667,0.675066044870148,11.3149847094801
24,12409925,41709942,6,115,0,4,0,5,6,0,4,9,7,0,21,0,13,172,3,12,T1E1 - Quercus - Fraxinus - Carpinus betulus forest on eutrophic and mesotrophic soils,362,120.666666666667,12,0.732532584,129.225,14.2666666666667,0.644740587800259,4.07569141193595
25,12361674,41702089,17,18,0,16,2,9,2,0,8,5,380,18,103,0,2,0,3,8,N1G - Mediterranean coniferous coastal dune forest,580,193.333333333333,13,0.682711058,119.148760330579,11.7933884297521,0.0557877038891162,97.3094170403588
26,12373882,41699643,325,9,0,1,0,1,0,0,2,1,536,20,174,2,2,1,4,8,N1G - Mediterranean coniferous coastal dune forest,1074,268.5,13,0.713381119,129.75,11.0333333333333,0.566572154611553,42.2287390029325
27,12425623,41696846,5,8,0,0,0,40,0,4,1,1,49,0,46,0,8,7,3,12,T1E1 - Quercus - Fraxinus - Carpinus betulus forest on eutrophic and mesotrophic soils,169,56.3333333333333,11,0.803263191,134.842975206612,13.7190082644628,0.360688020853872,0
28,12378380,41695164,10,0,0,0,0,6,0,0,2,0,133,1,1088,0,21,0,3,6,C7 - Pastures with trees,1261,420.333333333333,8,0.248387387,118.396694214876,8.98347107438017,0.687936861232034,3.40236686390533
29,12397175,41695772,34,13,0,0,0,3,0,0,17,1,117,14,224,0,3,8,4,10,T195 - Southeastern sub-thermophilous Quercus spp. forest,434,108.5,11,0.677323791,108.226890756303,9.00840336134454,0.711188928604929,40.6779661016949
30,12433446,41691384,4,5,0,1,1,3,0,3,1,0,196,24,38,0,2,2,3,12,T1E1 - Quercus - Fraxinus - Carpinus betulus forest on eutrophic and mesotrophic soils,280,93.3333333333333,13,0.661989796,60.8429752066116,2.85123966942149,0.550946554351428,9.71786833855799
31,12385212,41684580,19,1,0,10,0,5,0,0,29,5,62,19,60,0,0,2,3,4,C5 - Special plantations,212,70.6666666666667,11,0.816393734,120.450819672131,8.16393442622951,0.699835082474021,42.0520231213873
32,12399134,41687685,0,4,0,0,0,4,0,0,0,1,122,22,121,0,23,12,3,8,N1G - Mediterranean coniferous coastal dune forest,309,103,9,0.727579309,129.19512195122,10.0325203252033,0.671762930978429,52.7536231884058
33,12415399,41687891,2,6,0,0,0,23,0,0,1,0,4,0,815,5,12,5,3,12,T1E1 - Quercus - Fraxinus - Carpinus betulus forest on eutrophic and mesotrophic soils,873,291,9,0.127437743,127.710743801653,8.80165289256198,0.4439443500309,0
34,12404511,41679786,3,1,0,0,18,5,0,0,0,0,7,0,39,0,22,2,4,10,T195 - Southeastern sub-thermophilous Quercus spp. forest,97,24.25,9,0.74566904,133.372881355932,11.4661016949153,0.537224653065,1.45985401459854
35,12432517,41684686,141,91,1,0,0,6,0,2,16,0,4803,33,66,0,15,2,3,11,T19B6 - Thermophilous Fraxinus spp. forest,5176,1725.33333333333,12,0.251606586,105.980582524272,5.48333333333333,0.724094052158614,23.5537190082645
36,12441588,41682368,13,97,6,2,0,0,0,0,4,5,1850,78,21,2,27,4,3,8,N1G - Mediterranean coniferous coastal dune forest,2109,703,13,0.49265122,89.8429752066116,9.80165289256198,0.384185518853631,80.5993690851735
37,12392132,41679070,15,100,0,41,8,94,4,4,20,12,3770,383,487,15,62,1,3,4,C5 - Special plantations,5016,1672,16,0.577853739,98.1896551724138,8.51639344262295,0.861767769217325,39.5419847328244
38,12418777,41675875,4,3,0,0,0,3,0,0,1,1,170,2,23,0,1,4,4,10,T195 - Southeastern sub-thermophilous Quercus spp. forest,212,53,11,0.575293699,131.04,8.104,0.436864173995493,0.292397660818713
39,12406051,41670107,2,3,0,0,1,0,0,0,1,0,44,6,3,0,2,0,4,10,T195 - Southeastern sub-thermophilous Quercus spp. forest,62,15.5,9,0.6566077,118.861788617886,10.4959349593496,0.648513871811683,1.50375939849624
40,12414958,41663849,13,12,0,0,0,9,0,9,34,8,1562,162,178,0,5,3,4,10,T195 - Southeastern sub-thermophilous Quercus spp. forest,1995,498.75,12,0.506391794,133.409836065574,11.327868852459,0.678009516593678,0.43859649122807